station_cd,station_g_cd,station_name,station_name_k,station_name_r,line_cd,pref_cd,add,lon,lat,open_ymd,close_ymd,e_status,e_sort
1110204,1110204,KUROMATSUNAI,,,11102,1,hokkaido kuromatsunai-cho suttsu-gun kuromatsunai,140.305704,42.669608,,,0,1110204
1110205,1110205,NEPPU,,,11102,1,hokkaido kuromatsunai-cho suttsu-gun shiroikawa,140.375084,42.675653,,,0,1110205
1110206,1110206,MENA,,,11102,1,hokkaido rankoshi-cho isoya-gun menamachi,140.465742,42.761432,,,0,1110206
1110207,1110207,RANKOSHI,,,11102,1,hokkaido rankoshi-cho isoya-gun rankoshimachi,140.52894,42.804542,,,0,1110207
1110208,1110208,KOMBU,,,11102,1,hokkaido rankoshi-cho isoya-gun kombumachi,140.596107,42.797984,,,0,1110208
1110209,1110209,NISEKO,,,11102,1,hokkaido niseko-cho abuta-gun chuodori,140.684588,42.808746,,,0,1110209
1110210,1110210,HIRAFU,,,11102,1,hokkaido kutchan-cho abuta-gun hirafu,140.722615,42.84856,,,0,1110210
1110211,1110211,KUTCHAN,,,11102,1,hokkaido kutchan-cho abuta-gun kita1-jonishi,140.745471,42.90164,,,0,1110211
1110212,1110212,OZAWA,,,11102,1,hokkaido kyowa-cho iwanai-gun kozawa,140.677657,42.97185,,,0,1110212
1110213,1110213,GINZAN,,,11102,1,hokkaido niki-cho yoichi-gun ginzan,140.715321,43.040888,,,0,1110213
1110214,1110214,SHIKARIBETSU,,,11102,1,hokkaido niki-cho yoichi-gun shikaribetsu,140.737211,43.12551,,,0,1110214
1110215,1110215,NIKI,,,11102,1,hokkaido niki-cho yoichi-gun kitamachi,140.770546,43.154091,,,0,1110215
1110216,1110216,YOICHI,,,11102,1,hokkaido yoichi-cho yoichi-gun kurokawacho,140.794686,43.186558,,,0,1110216
1110217,1110217,RANSHIMA,,,11102,1,hokkaido otaru-shi ranshima,140.854643,43.19651,,,0,1110217
1110218,1110218,SHIOTANI,,,11102,1,hokkaido otaru-shi shioya,140.924546,43.202406,,,0,1110218
1110219,1110219,OTARU,,,11102,1,hokkaido otaru-shi inaho,140.993653,43.197172,,,0,1110219
1110301,1110219,OTARU,,,11103,1,hokkaido otaru-shi inaho,140.993653,43.197172,,,0,1110301
1110302,1110302,MINAMIOTARU,,,11103,1,hokkaido otaru-shi sumiyoshicho,141.007883,43.186529,,,0,1110302
1110303,1110303,OTARUCHIKKO,,,11103,1,hokkaido otaru-shi chikko,141.029051,43.180752,,,0,1110303
1110304,1110304,ASARI,,,11103,1,hokkaido otaru-shi asari,141.063923,43.176868,,,0,1110304
1110305,1110305,ZENIBAKO,,,11103,1,hokkaido otaru-shi zenibako,141.159868,43.143403,,,0,1110305
1110306,1110306,HOSHIMI,,,11103,1,hokkaido teine-ku sapporo-shi teine hoshioki,141.191402,43.13373,,,0,1110306
1110307,1110307,HOSHIOKI,,,11103,1,hokkaido teine-ku sapporo-shi hoshioki 1-jo,141.210856,43.132375,,,0,1110307
1110308,1110308,INAHO,,,11103,1,hokkaido teine-ku sapporo-shi akebono 1-jo,141.222919,43.128115,,,0,1110308
1110309,1110309,TEINE,,,11103,1,hokkaido teine-ku sapporo-shi teinehoncho 1-jo,141.243785,43.120238,,,0,1110309
1110310,1110310,INETSUMIKOEN,,,11103,1,hokkaido teine-ku sapporo-shi tomioka 1-jo,141.257113,43.112023,,,0,1110310
1110311,1110311,HASSAMU,,,11103,1,hokkaido nishi-ku sapporo-shi hassamu 9-jo,141.277273,43.099819,,,0,1110311
1110312,1110312,HASSAMUCHUO,,,11103,1,hokkaido nishi-ku sapporo-shi hassamu 6-jo,141.294497,43.089271,,,0,1110312
1110313,1110313,KOTONI,,,11103,1,hokkaido nishi-ku sapporo-shi kotoni 2-jo,141.307418,43.081599,,,0,1110313
1110314,1110314,SOEN,,,11103,1,hokkaido chuo-ku sapporo-shi kita11-jonishi,141.332036,43.070744,,,0,1110314
1110315,1110315,SAPPORO,,,11103,1,hokkaido kita-ku sapporo-shi kita6-jonishi,141.350768,43.068612,,,0,1110315
1110316,1110316,NAEBO,,,11103,1,hokkaido chuo-ku sapporo-shi kita3-johigashi,141.377522,43.068574,,,0,1110316
1110317,1110317,SHIRAISHI,,,11103,1,hokkaido shiroishi-ku sapporo-shi heiwadori,141.413612,43.054715,4/21/1903,,0,1110317
1110318,1110318,ATSUBETSU,,,11103,1,hokkaido atsubetsu-ku sapporo-shi atsubetsuchuo 5-jo,141.46369,43.045154,,,0,1110318
1110319,1110319,SHINRINKOEN,,,11103,1,hokkaido atsubetsu-ku sapporo-shi atsubetsukita 1-jo,141.481332,43.056456,,,0,1110319
1110320,1110320,TAIMA,,,11103,1,hokkaido ebetsu-shi oasa nakamachi,141.496925,43.072382,,,0,1110320
1110321,1110321,NOPPORO,,,11103,1,hokkaido ebetsu-shi nopporocho,141.52984,43.092559,,,0,1110321
1110322,1110322,TAKASAGO,,,11103,1,hokkaido ebetsu-shi takasagocho,141.540752,43.100084,,,0,1110322
